period_begin	period_end	period_duration	region_type	region_type_id	table_id	is_seasonally_adjusted	region	city	state	state_code	property_type	property_type_id	median_sale_price	median_sale_price_mom	median_sale_price_yoy	median_list_price	median_list_price_mom	median_list_price_yoy	median_ppsf	median_ppsf_mom	median_ppsf_yoy	median_list_ppsf	median_list_ppsf_mom	median_list_ppsf_yoy	homes_sold	homes_sold_mom	homes_sold_yoy	pending_sales	pending_sales_mom	pending_sales_yoy	new_listings	new_listings_mom	new_listings_yoy	inventory	inventory_mom	inventory_yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	median_dom	median_dom_mom	median_dom_yoy	avg_sale_to_list	avg_sale_to_list_mom	avg_sale_to_list_yoy	sold_above_list	sold_above_list_mom	sold_above_list_yoy	price_drops	price_drops_mom	price_drops_yoy	off_market_in_two_weeks	off_market_in_two_weeks_mom	off_market_in_two_weeks_yoy	parent_metro_region	parent_metro_region_metro_code	last_updated
1/1/2024	1/31/2024	30	county	5	1932	f	"Quay County, NM"		New Mexico	NM	Single Family Residential	6	37000	-0.857418112		262500	0.166666667		36.56126482	-0.506599039		119.4217229	-0.044626217		1	0		2	1		2	-0.333333333		14	-0.125		14	-2		163	-21					0	0		0.142857143	-0.044642857		0	0		New Mexico nonmetropolitan area		3/10/2024 14:36
4/1/2012	4/30/2012	30	county	5	1412	f	"Ogemaw County, MI"		Michigan	MI	All Residential	-1	45500	-0.071428571	-0.404839765	99450	0.11741573	-0.219693998	39.56521739	-0.106144132	-0.333170493	78.71666667	0.295676333	0.035095925	21	0.166666667	-0.125	8	-0.2	1	53	0.358974359	0.152173913	266	0.076923077	0	12.7	-1	1.6	205	79	-44	0.859861637	-0.061323014	-0.060987598	0	-0.222222222	-0.041666667				0	0	-0.25	Michigan nonmetropolitan area		3/10/2024 14:36
8/1/2015	8/31/2015	30	county	5	2030	f	"Columbus County, NC"		North Carolina	NC	Single Family Residential	6	100000	0	0.25	115250	-0.221020615	0.22606383	55.5247085	-0.141986189	0.25	72.03133978	-0.122370737	0.106143512	13	-0.35	0.181818182	5	-0.5	-0.166666667	36	-0.052631579	-0.027027027	212	0.029126214	-0.036363636	16.3	6	-3.7	123	-31	2	0.892854487	-0.026190565	0.019988162	0	-0.1	0				0	-0.2	0	North Carolina nonmetropolitan area		3/10/2024 14:36
12/1/2023	12/31/2023	30	county	5	851	f	"Jay County, IN"		Indiana	IN	Single Family Residential	6	119500	-0.040160643	0.457317073	84900	-0.245333333	0.345355434	83.78472366	-0.113533798	0.213856728	59.94552346	-0.195980667	0.083856405	12	2	-0.2	11	0.1	0.222222222	20	1.222222222	1.857142857	35	0.296296296	0.346153846	2.9	-3.9	1.2	17	-62	-2	0.985153367	0.040621088	0.038830842	0.333333333	0.083333333	0.333333333	0.257142857	-0.039153439	-0.089010989	0.545454545	0.145454545	0.101010101	Indiana nonmetropolitan area		3/10/2024 14:36
5/1/2019	5/31/2019	30	county	5	2747	f	"Hidalgo County, TX"		Texas	TX	All Residential	-1	161000	0.066225166	0.068347711	179900	0.033908046	0.114276866	87.12469363	0.03103228	0.047481443	93.2352969	0.026263651	0.079685581	354	0.035087719	0.224913495	264	-0.025830258	0.245283019	478	-0.038229376	-0.057199211	2020	-0.003944773	-0.014634146	5.7	-0.2	-1.4	75	4	16	0.965634775	0.003624385	0.001524239	0.149717514	-0.014025176	-0.023292866	0.288118812	0.031215459	-0.057247042	0.231060606	0.03548865	-0.094411092	"McAllen, TX"	32580	3/10/2024 14:36
11/1/2016	11/30/2016	30	county	5	2434	f	"Aiken County, SC"		South Carolina	SC	All Residential	-1	155500	-0.048056321	0.103228095	178700	-0.006670372	0.161709735	85.55747126	-0.020448697	0.110445086	88.84840189	0.029917122	0.04642154	167	-0.156565657	0.3046875	66	-0.043478261	0.534883721	169	-0.110526316	0.215827338	845	-0.001182033	-0.061111111	5.1	0.8	-1.9	115	-10	-14	0.963260997	-0.001334264	0.00247299	0.077844311	-0.058519325	-0.086218189				0.045454545	-0.027009223	-0.024312896	"Augusta, GA"	12260	3/10/2024 14:36
10/1/2017	10/31/2017	30	county	5	1187	f	"Marion County, KY"		Kentucky	KY	All Residential	-1	188750	4.067114094	1.3374613	330000	4.463576159	5.613226453	52.45080212	0.40146198	0.356324961	165.8291457	3.169244068	3.785450298	2	0	-0.5	1		-0.5	1	-0.5	0	6	-0.25	-0.333333333	3	-1	0.7	109	-147	6	0.810457516	-0.18361363	-0.085217824	0	-0.5	0				0		0	Kentucky nonmetropolitan area		3/10/2024 14:36
2/1/2015	2/28/2015	30	county	5	2216	f	"Montgomery County, OH"		Ohio	OH	Condo/Co-op	3	60450	-0.136428571	-0.38	89900	-0.072239422	0.010680157	54.58393458	0.011062419	-0.150644573	67.17420511	-0.017799459	0.00918152	32	-0.179487179	0.142857143	28	0.272727273	0.647058824	71	0.267857143	0.314814815	269	0.038610039	-0.052816901	8.4	1.8	-1.7	90	13	-12	0.940687305	0.018129002	0.019122433	0.09375	0.016826923	0.058035714				0.285714286	0.103896104	-0.12605042	"Dayton, OH"	19430	3/10/2024 14:36
12/1/2020	12/31/2020	30	county	5	2635	f	"Wayne County, TN"		Tennessee	TN	Single Family Residential	6	134000	-0.025454545	0.185840708	149999	0.612892473	0.102933824	92.28320194	0.107767679	0.508353025	85	0.329608939	-0.291611185	9	0.125	0.8	3	-0.4	-0.4	7	-0.222222222	0.75	38	-0.05	-0.11627907	4.2	-0.8	-4.4	65	3	3	0.927306931	-0.047578966	0.047827426	0.111111111	0.111111111	0.111111111	0.052631579	-0.097368421	-0.017135863	0.333333333	-0.466666667	0.333333333	Tennessee nonmetropolitan area		3/10/2024 14:36
7/1/2015	7/31/2015	30	county	5	688	f	"Franklin County, ID"		Idaho	ID	All Residential	-1	184500	0.550420168	0.411629686	167000	-0.069896965	-0.116168298	75.97323601	0.127741446	0.217043548	72.61510869	-0.152904435	-0.081941455	17	1.428571429	0.416666667	4	-0.2	0.333333333	10	0	-0.285714286	56	-0.081967213	-0.253333333	3.3	-5.4	-3	169	-171	45	0.974074837	-0.011104418	0.010710944	0.235294118	0.092436975	0.068627451				0	-0.2	0	"Logan, UT"	30860	3/10/2024 14:36
9/1/2017	9/30/2017	30	county	5	883	f	"Rush County, IN"		Indiana	IN	All Residential	-1	105000	0.252983294	0.228070175	139500	0.073076923	0.952414276	49.37791602	0.024134554	-0.035307548	53.46820809	0.318146819	0.233707793	23	0.095238095	1.090909091	10	-0.166666667	0.428571429	11	-0.45	-0.214285714	53	-0.184615385	-0.253521127	2.3	-0.8	-4.2	68	-10	10	0.922060403	-0.031759813	0.033945344	0.086956522	0.039337474	0.086956522	0.264150943	-0.05892598	0.024714324	0.2	-0.133333333	-0.085714286	Indiana nonmetropolitan area		3/10/2024 14:36
11/1/2017	11/30/2017	30	county	5	1521	f	"Attala County, MS"		Mississippi	MS	All Residential	-1	24050	-0.137992832		24250	-0.688903143		19.51263124	0.037876156		23.07348544	-0.544406137		2	1					2	0		20	0		10	-10		127	-88		1.078524096	0.260342278		1	1								Mississippi nonmetropolitan area		3/10/2024 14:36
3/1/2023	3/31/2023	30	county	5	3043	f	"Falls Church, VA"		Virginia	VA	Townhouse	13	720750	0.056043956	-0.311933174	1075000	0.214689266	0.108818979	452.2889791	-0.20476663	-0.138606735	408.0130826	0.041177058	-0.122358028	2	1	0	4		-0.2	4	1	-0.333333333	2	0	0	1	-1	0	11	-88	-7	1.030540541	0.042698595	0.011352642	0.5	0.5	-0.5				1		0.2	"Washington, DC"	47894	3/10/2024 14:36
9/1/2021	9/30/2021	30	county	5	2076	f	"Pasquotank County, NC"		North Carolina	NC	Townhouse	13	262900			252500			128.6203523			142.0387199			1			1			2			2			2			56			1			0						0			"Elizabeth City, NC"	21020	3/10/2024 14:36
3/1/2014	3/31/2014	30	county	5	223	f	"Pima County, AZ"		Arizona	AZ	Single Family Residential	6	176000	0.025641026	0.066666667	179000	-0.042780749	0.053560918	103.7279335	0.032488207	0.103317587	106.594035	-0.010525272	0.072335992	935	0.158612144	-0.165178571	617	0.121818182	-0.321978022	1442	0.09491268	0.067357513	5426	0.030383593	0.607703704	5.8	-0.7	2.8	90	-1	35	0.972909862	-0.00416212	-0.00143939	0.145454545	-0.04041906	-0.031331169	0.238481386	0.02769521		0.123176661	-0.036823339	-0.326273888	"Tucson, AZ"	46060	3/10/2024 14:36
11/1/2015	11/30/2015	30	county	5	1121	f	"Bracken County, KY"		Kentucky	KY	All Residential	-1	99000	-0.112107623	-0.1	53700	-0.58372093	-0.623157895	49.4011976	-0.31497006	-0.354640719	19.93333333	-0.757709561	-0.799204564	3	0	0				6	5	2	37	0.027777778	-0.195652174	12.3	0.3	-3	209	157	-198	0.91454199	-0.019414438	0.052319768	0	-0.333333333	0							"Cincinnati, OH"	17140	3/10/2024 14:36
